product_id,product_name,category,price,cost,stock_quantity,supplier
PRD_001,Smart Webcam,Electronics,125.21,91.76,322,TD SYNNEX
PRD_002,Smart Speaker,Electronics,336.32,191.26,469,TD SYNNEX
PRD_003,Rechargeable Speaker,Electronics,150.81,79.02,574,Tech Data
PRD_004,Wireless Router,Electronics,149.79,93.68,597,Exertis
PRD_005,4K Monitor,Electronics,196.94,147.55,141,Tech Data
PRD_006,Noise-Cancelling Headphones,Electronics,259.41,175.55,112,TD SYNNEX
PRD_007,Wireless Speaker,Electronics,323.03,222.12,432,Tech Data
PRD_008,Gaming Headphones,Electronics,55.17,31.14,479,Tech Data
PRD_009,Bluetooth Monitor,Electronics,144.41,88.95,11,Ingram Micro
PRD_010,Gaming External SSD,Electronics,348.8,213.15,273,Westcoast
PRD_011,Gaming Keyboard,Electronics,77.98,45.26,464,Ingram Micro
PRD_012,Bluetooth Headphones,Electronics,478.05,340.73,269,Tech Data
PRD_013,Noise-Cancelling Monitor,Electronics,386.92,233.04,108,Westcoast
PRD_014,Noise-Cancelling Tablet Stand,Electronics,424.78,255.84,203,TD SYNNEX
PRD_015,Gaming Webcam,Electronics,202.6,100.99,543,Ingram Micro
PRD_016,Smart Monitor,Electronics,309.49,184.64,114,Westcoast
PRD_017,Smart External SSD,Electronics,442.38,309.44,314,TD SYNNEX
PRD_018,Rechargeable Webcam,Electronics,52.5,37.45,80,Ingram Micro
PRD_019,Gaming Tablet Stand,Electronics,372.65,258.92,545,TD SYNNEX
PRD_020,Portable Power Bank,Electronics,85.98,50.95,562,TD SYNNEX
PRD_021,Portable Headphones,Electronics,150.89,107.39,433,TD SYNNEX
PRD_022,USB-C Speaker,Electronics,466.22,315.43,205,Westcoast
PRD_023,Portable Webcam,Electronics,214.51,139.75,382,Exertis
PRD_024,Rechargeable Tablet Stand,Electronics,452.31,264.8,253,TD SYNNEX
PRD_025,Compact Headphones,Electronics,55.4,25.28,567,TD SYNNEX
PRD_026,Smart Router,Electronics,304.5,137.68,60,TD SYNNEX
PRD_027,Compact Keyboard,Electronics,57.01,26.19,338,Ingram Micro
PRD_028,USB-C Tablet Stand,Electronics,269.21,143.64,497,TD SYNNEX
PRD_029,Compact Power Bank,Electronics,281.13,187.52,584,Tech Data
PRD_030,Portable Keyboard,Electronics,249.51,171.01,416,TD SYNNEX
PRD_031,Wireless External SSD,Electronics,69.79,45.2,362,Exertis
PRD_032,Smart Power Bank,Electronics,220.26,156.2,55,Ingram Micro
PRD_033,Noise-Cancelling Router,Electronics,53.78,35.95,111,TD SYNNEX
PRD_034,4K Keyboard,Electronics,116.0,70.86,143,Exertis
PRD_035,Gaming Mouse,Electronics,112.15,66.03,77,Exertis
PRD_036,Smart Mouse,Electronics,408.8,288.94,100,Ingram Micro
PRD_037,Rechargeable External SSD,Electronics,334.76,204.93,15,Ingram Micro
PRD_038,Noise-Cancelling Webcam,Electronics,465.01,327.65,170,Exertis
PRD_039,Compact Monitor,Electronics,255.67,131.45,410,Ingram Micro
PRD_040,Bluetooth Webcam,Electronics,103.19,46.5,399,Westcoast
PRD_041,Quiet Humidifier,Home Appliances,191.72,100.72,52,AO Business
PRD_042,Premium Dehumidifier,Home Appliances,232.96,162.79,45,AO Business
PRD_043,Compact Air Fryer,Home Appliances,136.73,66.89,268,Appliance House
PRD_044,Programmable Vacuum Cleaner,Home Appliances,267.18,164.45,437,Whirlpool Wholesale
PRD_045,Programmable Toaster,Home Appliances,33.08,15.63,152,Whirlpool Wholesale
PRD_046,Premium Kettle,Home Appliances,41.52,23.28,565,Appliance House
PRD_047,Cordless Steam Iron,Home Appliances,167.52,77.49,373,AO Business
PRD_048,Cordless Kettle,Home Appliances,317.65,162.96,255,AO Business
PRD_049,Stainless Steel Fan Heater,Home Appliances,143.17,88.47,416,Whirlpool Wholesale
PRD_050,Quiet Toaster,Home Appliances,269.82,196.36,242,Appliance House
PRD_051,Energy Efficient Coffee Machine,Home Appliances,342.38,237.35,422,AO Business
PRD_052,Digital Air Fryer,Home Appliances,87.39,63.56,421,Appliance House
PRD_053,Stainless Steel Steam Iron,Home Appliances,115.37,79.17,110,Bosch Trade Supply
PRD_054,Deluxe Microwave,Home Appliances,309.08,218.7,227,Appliance House
PRD_055,Compact Kettle,Home Appliances,291.3,171.31,312,Appliance House
PRD_056,Digital Toaster,Home Appliances,101.33,65.66,408,Beko Distribution
PRD_057,Energy Efficient Toaster,Home Appliances,119.14,56.09,285,Beko Distribution
PRD_058,Energy Efficient Humidifier,Home Appliances,235.26,134.08,549,Beko Distribution
PRD_059,Premium Coffee Machine,Home Appliances,330.55,160.19,267,Appliance House
PRD_060,Multi-Use Toaster,Home Appliances,215.78,160.77,39,AO Business
PRD_061,Premium Humidifier,Home Appliances,220.89,122.31,321,Bosch Trade Supply
PRD_062,Cordless Microwave,Home Appliances,223.98,135.16,394,Whirlpool Wholesale
PRD_063,Cordless Dehumidifier,Home Appliances,90.82,42.08,446,AO Business
PRD_064,Quiet Microwave,Home Appliances,196.36,135.87,201,Beko Distribution
PRD_065,Digital Coffee Machine,Home Appliances,168.01,123.43,338,Whirlpool Wholesale
PRD_066,Programmable Steam Iron,Home Appliances,130.44,91.88,307,Whirlpool Wholesale
PRD_067,Quiet Coffee Machine,Home Appliances,128.96,73.83,412,Beko Distribution
PRD_068,Digital Kettle,Home Appliances,207.4,105.27,388,Appliance House
PRD_069,Compact Steam Iron,Home Appliances,226.95,122.62,561,AO Business
PRD_070,Cordless Air Fryer,Home Appliances,127.23,65.28,593,Whirlpool Wholesale
PRD_071,Deluxe Kettle,Home Appliances,239.5,141.18,452,Appliance House
